"Rat Race", 8
"Inception", 6
"The Dark Knight", 5
"Batman Begins", 5
"Forrest Gump", 4
"How to Train Your Dragon", 3
"V for Vendetta", 3
"Taken", 3
"Toy Story", 2
"Pirates of the Caribbean: The Curse of the Black Pearl", 2
"Hot Fuzz", 2
"Transformers", 2
"Sherlock Holmes", 2
"The Girl with the Dragon Tattoo", 1
"Office Space", 1
"The Hangover", 1
